Profit_thousands,Profit_dollars,MarketSpend_thousands,MarketSpend_dollars,EmployeeOverhead,RnDSpend_dollars,SalesVolume,AdImpressions,TrainingHours,Temperature
110.11268,110112.68,95.77013,95770.13,66.58175,34872.32,258,1001,57.2,46
336.54499,336544.99,115.98402,115984.02,43.27275,46784.80,416,2869,22.6,76.1
153.43889,153438.89,71.23491,71234.91,59.39023,44089.48,305,3818,47.6,64.9
186.25578,186255.78,96.027,96027,46.73564,51982.99,214,3404,52.7,45.5
140.10106,140101.06,99.09149,99091.49,50.77904,29676.60,188,2836,59.2,40.8
263.55562,263555.62,100.33533,100335.33,56.24111,51804.92,347,3054,58.9,64.4
59.72918,59729.18,78.44875,78448.75,83.21273,71257.15,264,1769,90.4,73.9
249.92898,249928.98,113.85606,113856.06,58.8679,42239.40,357,2689,46.1,63.9
279.88891,279888.91,111.04859,111048.59,44.62722,53285.54,325,2885,76,86
224.75553,224755.53,110.33866,110338.66,56.02861,25311.39,288,3650,60.8,49
148.57003,148570.03,82.23489,82234.89,61.01866,42296.29,239,2488,77.2,46.2
212.37928,212379.28,89.83905,89839.05,63.60245,51184.15,304,4960,80.4,83.9
20.20708,20207.08,65.40919,65409.19,78.53576,43714.46,154,1527,57.7,62.4
187.31009,187310.09,114.69313,114693.13,52.43955,30828.75,301,1001,38.6,50
498.41465,498414.65,149.64558,149645.58,39.68209,75111.32,499,2892,53.5,73.4
95.06833,95068.33,66.78234,66782.34,78.91278,51034.70,309,3286,58.6,54.1
169.04209,169042.09,86.36729,86367.29,72.034,42166.98,345,2815,84.3,81.5
499.86898,499868.98,136.4282,136428.2,37.53007,67240.16,499,4144,94.3,83
159.98679,159986.79,80.51994,80519.94,64.87333,56429.71,261,2803,71.1,79.8
300.42575,300425.75,110.51165,110511.65,48.5972,55715.47,319,3249,52.1,46.2
172.26735,172267.35,96.31564,96315.64,69.85739,35755.00,295,2830,76,67.2
484.13384,484133.84,141.91765,141917.65,43.6842,62738.96,418,3116,58.7,52.2
28.74138,28741.38,50.42781,50427.81,86.09104,50848.27,149,3396,20.2,29.6
404.75568,404755.68,123.40032,123400.32,48.77716,71357.19,498,2877,88.4,30.6
102.66326,102663.26,86.94913,86949.13,81.99744,51319.36,298,2974,86.4,76.3
133.56581,133565.81,78.44362,78443.62,61.28331,46839.92,249,2900,66.5,71.7
498.39783,498397.83,134.86221,134862.21,39.43366,59280.39,493,3876,73.5,73.3
497.39534,497395.34,146.95941,146959.41,40.65003,56094.63,481,4999,63.5,39.7
224.72138,224721.38,79.61901,79619.01,57.55463,36602.86,249,2065,21.9,22.5
302.35737,302357.37,111.87755,111877.55,48.07346,66117.12,401,3045,70.4,61.4
198.51242,198512.42,76.41437,76414.37,64.7683,53229.64,257,3548,40.9,56
318.29689,318296.89,126.11751,126117.51,64.49565,50906.29,304,3389,41.1,61.4
290.35984,290359.84,95.01694,95016.94,58.1533,60905.00,380,2431,62.1,80.5
49.97611,49976.11,75.80749,75807.49,67.44328,35999.48,192,3003,73.2,65.7
124.96542,124965.42,100.42408,100424.08,66.10873,53186.38,238,3263,22.7,45.1
420.30242,420302.42,124.69122,124691.22,41.5292,29849.63,415,3483,69.2,57.7
395.54868,395548.68,136.24414,136244.14,41.13583,65360.53,424,3070,77.9,59.1
216.39287,216392.87,108.70706,108707.06,47.03798,46358.52,347,3119,54.7,67.9
185.59577,185595.77,104.77058,104770.58,82.60471,47266.96,288,3341,74.3,35.3
-4.55209,-4552.09,53.63184,53631.84,79.30852,32169.70,202,1001,52.4,68.3
248.55915,248559.15,100.43742,100437.42,47.40162,51828.09,337,4354,46.3,61.1
239.37569,239375.69,84.87055,84870.55,61.20688,42445.26,375,3351,34.9,20.2
113.84798,113847.98,70.26817,70268.17,67.5902,33063.16,174,1001,44.4,59.1
110.40547,110405.47,93.4925,93492.5,67.5676,46135.00,177,3299,20.3,54.8
470.94309,470943.09,115.70876,115708.76,33.8344,62211.87,475,3422,71,62.5
249.92254,249922.54,104.63551,104635.51,54.05568,50609.78,275,3795,82.4,75.9
60.70119,60701.19,68.25037,68250.37,79.41345,46993.58,257,3223,70.7,44
271.1373,271137.3,92.39251,92392.51,67.34134,40120.65,346,1400,45.5,57.3
-11.71732,-11717.32,55.33108,55331.08,75.9776,32719.17,192,1133,52.3,85
178.70214,178702.14,93.74033,93740.33,53.71781,33672.54,230,2398,87,99.6
205.62448,205624.48,82.62776,82627.76,52.72355,57413.54,316,2257,89.8,60
153.71323,153713.23,79.07219,79072.19,49.40691,46395.34,202,3367,94.1,38.2
498.54381,498543.81,134.55399,134553.99,37.28123,46019.73,499,3347,100,77.3
324.82079,324820.79,132.42533,132425.33,62.98336,62753.17,337,2213,59.9,25.3
164.24535,164245.35,80.10654,80106.54,59.20484,36840.48,300,3942,58.3,70.9
224.96257,224962.57,94.19323,94193.23,75.22411,60771.10,221,1001,99,66.1
438.81718,438817.18,137.57424,137574.24,40.94025,49804.64,435,3953,46.7,70.7
245.45794,245457.94,91.33188,91331.88,58.39589,43003.15,313,2956,67.2,57.8
471.50076,471500.76,129.91121,129911.21,45.80366,53700.72,449,4830,68.4,91.5
379.45069,379450.69,103.92016,103920.16,56.34087,58436.22,366,3616,51.9,55
43.23833,43238.33,67.08892,67088.92,80.68622,38074.23,292,2401,67,54.3
497.50778,497507.78,149.80637,149806.37,36.0859,70095.17,499,3757,95.3,85.8
-13.34889,-13348.89,55.4969,55496.9,86.15871,15540.96,170,3077,48.2,70.4
146.44975,146449.75,98.39819,98398.19,63.87151,38604.07,233,1053,51.2,72.7
197.60336,197603.36,93.58425,93584.25,44.9874,41454.08,325,3705,75.1,49.6
242.33949,242339.49,112.91897,112918.97,55.22,38249.76,319,3884,99.2,67.5
215.52647,215526.47,103.8293,103829.3,67.20396,45128.66,179,4261,59.6,23.1
497.50834,497508.34,139.62272,139622.72,38.13164,44354.19,499,3087,47.2,50.5
130.19941,130199.41,86.08154,86081.54,74.82628,31728.04,233,1528,51.6,44.5
392.05208,392052.08,119.86189,119861.89,45.80564,56440.42,499,4975,36.6,27.7
288.60523,288605.23,114.28759,114287.59,58.51545,53369.73,271,2275,54.6,65.1
312.10839,312108.39,114.93519,114935.19,54.06556,70151.85,362,4999,48.7,55.8
247.2427,247242.7,118.22292,118222.92,74.08764,62106.92,266,2557,81.3,55.4
171.55378,171553.78,65.99003,65990.03,48.28211,15371.02,284,2357,93.3,79.3
199.96078,199960.78,93.25443,93254.43,65.3558,31329.63,282,2729,83.4,35.5
218.68253,218682.53,106.13738,106137.38,71.7799,35321.89,235,2803,38,56.7
397.04623,397046.23,135.06359,135063.59,61.19633,43335.47,463,3072,56,70.1
44.43053,44430.53,72.88331,72883.31,71.74187,24320.58,182,2834,47.4,56.9
126.15307,126153.07,95.63251,95632.51,59.63945,35453.78,272,1304,66.9,41.4
78.87545,78875.45,79.75401,79754.01,83.05278,35669.92,211,4089,50.1,69.5
228.49754,228497.54,104.47149,104471.49,69.92527,50806.47,290,3058,80.3,59
183.57223,183572.23,105.5038,105503.8,45.87332,47226.25,230,2975,62.6,44.8
175.78115,175781.15,108.62498,108624.98,65.58347,43456.63,339,3025,34.5,80.7
103.58393,103583.93,74.17763,74177.63,69.86782,29397.67,196,2172,60.3,52.9
207.07646,207076.46,107.59294,107592.94,61.8319,33698.73,283,3988,53.8,51.3
326.00897,326008.97,126.19241,126192.41,44.85508,45129.09,308,2923,80,44.2
133.98257,133982.57,60.42308,60423.08,68.56488,36255.29,256,3437,35.4,57.4
161.39725,161397.25,88.05282,88052.82,69.81797,43606.54,240,2744,63.7,99.6
264.61383,264613.83,107.87477,107874.77,52.3768,54218.89,317,2170,69.3,58.9
217.91378,217913.78,90.63272,90632.72,71.84648,48667.02,280,1410,30.6,75.6
228.25019,228250.19,117.86384,117863.84,76.06427,54236.54,251,3948,35.1,46.7
176.77398,176773.98,67.21027,67210.27,71.66762,41392.02,377,2567,60.6,58.9
234.74872,234748.72,113.73129,113731.29,68.5024,31335.54,383,2073,53.1,29.7
111.05214,111052.14,92.26351,92263.51,55.34759,49703.86,244,3352,71.7,34.8
-49.51635,-49516.35,50.38383,50383.83,83.18382,15486.13,101,1109,71.4,73.5
192.97503,192975.03,92.20197,92201.97,53.17646,47102.60,294,2099,52.1,29
313.17983,313179.83,110.32925,110329.25,56.39264,63147.82,449,1068,47.2,65.7
127.15318,127153.18,77.13657,77136.57,65.16939,30326.25,251,2602,24.8,63.1
-47.64662,-47646.62,50.23279,50232.79,84.51767,34924.39,101,1001,55,60.3
133.52891,133528.91,87.66047,87660.47,68.71418,34788.52,175,3077,50.5,85.9
63.2101,63210.1,56.69143,56691.43,78.56116,16217.55,237,2213,55.6,99.7
327.02027,327020.27,114.80067,114800.67,35.89477,56511.56,448,3739,68.1,35.6
159.90729,159907.29,102.07663,102076.63,71.57164,51586.54,332,3820,42.2,82.5
209.98416,209984.16,92.30159,92301.59,62.99426,45397.73,251,3344,73.6,40
137.66763,137667.63,98.92828,98928.28,60.42685,30773.98,267,2514,85.9,84.7
260.72378,260723.78,127.96443,127964.43,57.72437,45512.57,254,2745,37,81.1
202.29812,202298.12,97.27182,97271.82,46.58488,39846.36,233,1408,70.6,72.5
274.70679,274706.79,96.42764,96427.64,54.69964,39253.08,261,2088,39.3,41.9
46.71197,46711.97,72.36219,72362.19,60.14679,20125.29,148,2705,43,54.1
292.93928,292939.28,117.18341,117183.41,53.92985,48969.32,295,4062,93.9,42.4
350.50904,350509.04,101.55097,101550.97,52.74756,40663.09,287,3109,74.4,68
438.96585,438965.85,139.68428,139684.28,43.51953,63043.45,411,3532,64.2,66.1
197.2487,197248.7,97.57382,97573.82,79.39514,43517.43,315,2676,80.1,55.5
260.73115,260731.15,119.72795,119727.95,70.48434,35590.42,299,3735,53.7,54.2
50.73878,50738.78,75.86477,75864.77,76.05709,39201.56,253,1001,80.5,61.4
65.17397,65173.97,62.72097,62720.97,75.14814,41417.17,234,2085,99.7,71.1
172.22627,172226.27,86.3646,86364.6,70.24237,32153.56,250,2495,60.6,36
342.9884,342988.4,104.64882,104648.82,53.60921,61329.36,304,4032,65.1,99.7
316.08541,316085.41,104.08892,104088.92,67.47131,50906.37,346,3541,74.6,99.7
105.39799,105397.99,115.49268,115492.68,57.67139,64356.83,188,4169,80.6,78.9
394.97931,394979.31,139.22553,139225.53,34.94774,49846.25,392,3646,63.6,52.6
485.98189,485981.89,130.96692,130966.92,43.35992,57834.07,484,3102,51.9,66.7
41.84228,41842.28,90.85602,90856.02,86.64527,53716.81,148,3418,56.3,73.3
226.18411,226184.11,113.60046,113600.46,69.06689,50320.80,293,2485,38.6,99.6
22.3066,22306.6,80.30257,80302.57,73.0845,62409.72,150,2522,33.9,63.8
171.19604,171196.04,94.32467,94324.67,58.37379,52336.33,227,3379,56,89.3
40.7922,40792.2,68.74549,68745.49,71.96699,18092.94,228,2625,20.3,46.1
399.52268,399522.68,121.97553,121975.53,47.68579,73599.82,355,3659,30.6,98.4
210.661,210661,109.09716,109097.16,57.66513,54070.88,308,3377,31.9,59.1
142.97975,142979.75,105.32935,105329.35,64.84992,50820.73,267,1976,64.1,57.5
235.30649,235306.49,111.71092,111710.92,73.3909,64794.94,336,4930,37.4,29.6
218.4685,218468.5,107.73149,107731.49,42.78957,36565.10,275,4817,72.3,76.6
53.28358,53283.58,62.052,62052,63.26961,58328.35,221,2664,62.1,61.1
57.16239,57162.39,69.15218,69152.18,78.06186,27112.60,178,3181,62.5,92.9
140.67379,140673.79,63.42895,63428.95,62.03755,41360.35,208,3450,68.9,55
-47.2761,-47276.1,50.22431,50224.31,81.75177,20453.93,137,1617,41.5,63.5
172.80946,172809.46,86.36182,86361.82,68.5929,45704.35,282,2442,70.8,46.1
431.27057,431270.57,143.33929,143339.29,52.49805,46824.79,439,2798,61.1,52.6
197.65429,197654.29,101.92196,101921.96,47.56049,44342.28,260,3472,30.4,71.1
-20.26054,-20260.54,60.85018,60850.18,80.39435,38154.42,191,2533,28.8,74.6
101.79771,101797.71,73.95887,73958.87,72.51338,40629.41,178,1911,83,93.3
312.9826,312982.6,118.80576,118805.76,42.69984,40300.05,394,3736,68.7,30.1
276.58495,276584.95,107.25224,107252.24,49.78536,59225.57,291,3837,38.1,36.6
149.32769,149327.69,68.11433,68114.33,73.24348,48250.86,224,2354,56.6,50.1
123.06223,123062.23,82.94715,82947.15,57.55604,54901.93,193,3236,69.3,42.9
161.47673,161476.73,97.77672,97776.72,73.76927,53051.18,231,3963,59.4,57.5
165.45534,165455.34,91.72095,91720.95,55.13151,46671.83,299,4315,41.3,20.1
454.50696,454506.96,140.2496,140249.6,42.32791,75562.46,398,3206,78.4,59.6
195.32771,195327.71,95.9371,95937.1,57.3124,47507.02,269,3781,73.1,77.1
211.03142,211031.42,105.23802,105238.02,65.67908,51854.43,320,2348,84.6,80.8
497.8586,497858.6,147.82531,147825.31,38.96257,56657.94,458,4475,78,77
405.95077,405950.77,131.54174,131541.74,33.03202,46234.06,402,3184,40.1,94.2
322.16436,322164.36,91.08264,91082.64,60.91288,69978.44,356,3059,46.9,82.4
190.14423,190144.23,102.12857,102128.57,58.34405,52969.79,261,2591,62.5,61.7
237.49043,237490.43,115.0847,115084.7,45.64975,56825.21,272,3638,44.6,71.6
498.88806,498888.06,139.54196,139541.96,35.91943,63423.03,499,4266,46.2,51.5
167.6673,167667.3,90.74674,90746.74,72.61147,45878.55,309,1762,46.4,81.5
117.26411,117264.11,59.03204,59032.04,77.88912,26555.23,265,2978,34,47.9
290.24667,290246.67,108.78828,108788.28,59.0321,39804.61,297,2982,76.1,50.7
395.18908,395189.08,120.20201,120202.01,31.13877,48534.23,415,4928,47.3,20.1
466.25149,466251.49,114.36488,114364.88,43.70009,60197.45,499,4424,80.8,59.9
21.52052,21520.52,50.17608,50176.08,74.36317,35320.79,169,2564,60.6,66
252.29097,252290.97,113.95232,113952.32,76.37597,47349.72,295,4346,48.8,70.7
388.2878,388287.8,130.08822,130088.22,50.10503,60729.53,444,3806,38.3,75.7
320.78573,320785.73,97.02328,97023.28,65.33046,57590.85,387,1902,36.7,43.3
304.31663,304316.63,107.26263,107262.63,62.92806,39433.94,310,4413,43.7,37.1
453.35644,453356.44,123.85431,123854.31,38.94747,51911.20,477,4152,27.5,49.9
176.46335,176463.35,86.49976,86499.76,72.69947,47854.04,379,3868,35.6,40.5
365.65688,365656.88,128.32357,128323.57,49.78167,32884.62,346,2541,77.5,49.2
100.53632,100536.32,81.72512,81725.12,79.75431,51045.93,157,2731,69.6,69.3
463.73632,463736.32,149.76897,149768.97,38.66054,51776.57,472,3012,40.9,33.8
-48.66149,-48661.49,57.79891,57798.91,82.71893,34077.89,101,2037,61.1,53.7
68.00949,68009.49,78.80749,78807.49,72.07505,15456.63,205,1445,20.3,39
267.93227,267932.27,91.68202,91682.02,53.21489,46013.63,357,2815,72.3,83.2
151.40444,151404.44,69.66147,69661.47,66.25393,51412.21,230,1291,53.7,76.4
126.42164,126421.64,75.85228,75852.28,55.3601,33810.09,176,3665,75.5,43.2
327.44896,327448.96,109.96789,109967.89,57.1143,42284.25,403,2643,61.2,45.2
62.93049,62930.49,77.84103,77841.03,61.07139,37701.42,201,1702,67.7,43.7
69.9043,69904.3,93.31874,93318.74,74.43402,28972.23,147,1632,58.1,93
248.52453,248524.53,100.75418,100754.18,55.87978,38989.07,345,2387,89.6,44.5
166.38425,166384.25,77.22601,77226.01,52.46648,41251.12,225,1790,31.4,66.5
249.38451,249384.51,100.04395,100043.95,64.88645,48182.31,358,2867,44.2,82.2
411.05993,411059.93,131.74691,131746.91,38.32819,45442.06,442,3566,68.2,58.3
217.18146,217181.46,86.07748,86077.48,50.23262,34243.68,399,2711,32.9,60.3
191.78368,191783.68,94.17879,94178.79,69.0513,49777.74,293,3816,64.5,93.5
141.33295,141332.95,74.56487,74564.87,75.60909,32198.83,291,1794,52.5,65.8
134.2368,134236.8,77.54213,77542.13,69.25058,65498.65,205,4438,20.2,55.7
206.03779,206037.79,95.64343,95643.43,60.6742,41935.33,277,3532,60.1,79.9
199.87089,199870.89,87.94255,87942.55,43.63309,37779.56,237,4965,99.5,20.4
227.4574,227457.4,101.97082,101970.82,57.45857,43152.20,373,2622,45.4,99.7
273.87605,273876.05,117.95735,117957.35,57.96762,45619.31,341,1926,63.3,46.6
150.31983,150319.83,110.61763,110617.63,56.18944,30214.31,219,2243,83.4,89.3
256.59626,256596.26,107.76882,107768.82,50.77368,57885.38,246,3484,80,63.9
299.3763,299376.3,97.9333,97933.3,52.86559,48269.07,376,3215,39.4,48.7
497.21971,497219.71,133.20415,133204.15,39.31008,71724.71,487,3677,45.3,82.5
243.19905,243199.05,114.61081,114610.81,57.26009,41170.22,258,2250,82.9,24.3
85.62163,85621.63,100.09012,100090.12,71.64275,31249.01,140,1001,77.5,78.9
276.44383,276443.83,107.02484,107024.84,73.74795,23848.12,298,3475,52.2,54.5
449.39924,449399.24,121.1378,121137.8,32.35732,50642.94,481,4327,43.5,39.3
103.2281,103228.1,73.2268,73226.8,72.83815,40516.02,214,3377,53.1,65.5
111.65232,111652.32,71.90877,71908.77,54.16975,27679.78,221,1059,60.1,63.1
47.80835,47808.35,78.54553,78545.53,68.29287,28678.21,210,3634,20.1,47.5
169.19657,169196.57,88.48506,88485.06,50.21809,44876.13,216,2720,68.2,52.9
480.42019,480420.19,140.08538,140085.38,40.11495,58377.04,499,3193,52.1,35.3
35.06344,35063.44,85.10111,85101.11,85.56134,49178.92,191,2819,65.2,65.2
26.60219,26602.19,77.42443,77424.43,72.49532,33954.63,167,2816,42.1,68.5
447.73073,447730.73,113.98115,113981.15,41.39394,30495.64,477,3764,48.5,31
36.58693,36586.93,82.07927,82079.27,76.40629,58350.54,150,3163,83.2,28.3
310.78877,310788.77,112.11302,112113.02,59.45859,44833.94,339,3523,60,39.8
279.45068,279450.68,112.02448,112024.48,39.56916,37920.32,320,2270,50.7,66.7
266.33898,266338.98,116.92736,116927.36,61.31747,48677.11,306,2859,71.4,63
-10.7645,-10764.5,77.15777,77157.77,87.33761,48339.37,157,3186,81.3,78.3
190.32155,190321.55,90.83084,90830.84,72.20693,46885.06,283,4999,20.8,72.1
256.89192,256891.92,113.04977,113049.77,52.01852,41350.72,268,4498,61.4,59.3
252.80919,252809.19,94.32823,94328.23,71.53869,30511.02,293,2978,24.2,66
91.20712,91207.12,70.13602,70136.02,77.36297,42823.53,180,3466,54.4,50.9
493.53398,493533.98,149.97567,149975.67,39.37948,56351.87,450,3812,49.6,38.3
178.741,178741,84.19907,84199.07,70.39679,37986.48,273,2927,98.7,81.1
227.62533,227625.33,100.83885,100838.85,59.0367,40949.28,288,1181,71.5,52
291.44447,291444.47,104.06058,104060.58,59.94116,51272.63,332,2767,59.5,77.6
221.65002,221650.02,107.62142,107621.42,62.07023,18794.51,308,3603,84.8,21.3
195.22394,195223.94,112.77408,112774.08,52.99646,44810.64,335,3373,50.1,55.4
449.94027,449940.27,149.55055,149550.55,49.31032,48299.61,395,2881,89,83.5
30.99172,30991.72,85.50236,85502.36,72.36377,42225.73,131,2737,61,50.2
251.42352,251423.52,116.256,116256,41.74951,29845.23,265,2431,61.7,20.2
171.79909,171799.09,101.00636,101006.36,74.19391,36470.59,263,2807,61.9,58.5
391.75845,391758.45,130.80577,130805.77,46.68422,43125.52,392,4267,94.3,54.1
133.43855,133438.55,72.89333,72893.33,66.26114,58359.83,272,4217,53.5,48.9
341.08171,341081.71,116.13786,116137.86,48.11053,44279.94,395,4159,91.7,34.2
352.52092,352520.92,119.3967,119396.7,42.0353,59810.93,414,3100,78.1,58.7
95.69991,95699.91,70.63592,70635.92,62.06774,53321.95,182,3031,67.8,99.6
338.50562,338505.62,120.45089,120450.89,46.09221,53005.65,413,2544,68.6,51.8
174.33333,174333.33,106.3446,106344.6,70.55764,39413.63,323,1422,55.2,27.6
38.84533,38845.33,68.05433,68054.33,76.12575,46634.14,128,2024,66.1,74.4
155.85872,155858.72,82.59419,82594.19,72.28228,51560.43,288,2578,65.1,48.5
114.92291,114922.91,82.74363,82743.63,71.535,46725.00,321,2814,72.7,85.8
227.08443,227084.43,92.10021,92100.21,71.82086,52979.86,277,2436,36.8,61
473.48817,473488.17,145.12005,145120.05,46.48906,75553.02,471,3323,76.8,75.5
224.73791,224737.91,107.03651,107036.51,70.84977,42614.66,245,4450,75.8,61.4
77.25508,77255.08,80.14944,80149.44,70.9658,52524.85,265,3259,43,31.2
255.67405,255674.05,108.98939,108989.39,52.26844,57172.68,335,3694,70.1,73.4
53.71269,53712.69,73.03868,73038.68,72.05153,38090.29,221,3106,69.2,86.5
97.4316,97431.6,91.54804,91548.04,80.7567,47847.33,193,2387,56.7,66
354.95572,354955.72,105.25133,105251.33,49.20963,67387.64,370,3174,64,76.6
-47.74583,-47745.83,50.11444,50114.44,77.50645,20507.09,101,1001,23.6,75.8
52.76298,52762.98,86.91886,86918.86,68.87965,45922.40,169,2062,51.4,70.6
382.82044,382820.44,123.84694,123846.94,47.16345,48538.42,330,2379,86.2,77.9
73.51841,73518.41,67.46467,67464.67,56.94012,42739.94,267,2748,89.4,58.5
219.06775,219067.75,111.28279,111282.79,55.12163,49096.67,245,3267,65.6,79.9
356.46431,356464.31,117.73141,117731.41,56.96387,39039.10,392,4634,54.4,45.6
401.0464,401046.4,136.11494,136114.94,46.74026,62177.97,385,3705,56.3,51.3
304.60924,304609.24,126.67009,126670.09,43.45195,39494.54,277,2186,99.7,99.6
155.55499,155554.99,82.12364,82123.64,68.52645,59371.71,257,2718,72.5,20.3
